GPSID,ETRS89_X,ETRS89_Y,ETRS89_Z,ElevMSL,Date,DEMval,diff,cntrdist,GCPdist,GCPavgdist
2444,453856.8504,6071953.691,43.1148,2.8848,20160926,2.93635951381065,0.0515595138106519,23.267410263328,4.48293490496527,25.8943821592624
2445,453856.8948,6071954.592,43.0925,2.8625,20160926,2.91415112231477,0.0516511223147673,22.4007707297058,3.98511812112436,25.2163734259788
2446,453856.9217,6071955.424,43.087,2.857,20160926,2.90871308559918,0.0517130855991779,21.607876532021,3.65192996794995,24.6249293925232
2447,453856.9523,6071956.214,43.1031,2.8731,20160926,2.91500786859034,0.0419078685903367,20.8560821078043,3.49832526934546,24.0967467072976
2448,453856.9708,6071957.067,43.1125,2.8825,20160926,2.90700856164019,0.0245085616401912,20.0529829675982,3.51486344538005,23.5709885796957
2449,453856.981,6071958.027,43.0812,2.8512,20160926,2.90915193869314,0.0579519386931433,19.1583705324626,3.76186669078527,23.032756538989
2450,453857.006,6071958.936,43.1053,2.8753,20160926,2.92536583089081,0.0500658308908095,18.3112913105388,4.20244797688492,22.5635725312086
2451,453857.0382,6071959.714,43.1402,2.9102,20160926,2.96352399102828,0.0533239910282801,17.5867743081938,4.69617161501499,22.1864766069715
2452,453857.1019,6071960.581,43.1915,2.9615,20160926,2.99553020261262,0.0340302026126214,16.7731634201723,5.34597098863977,21.7822874432406
2453,453857.1529,6071961.552,43.1998,2.9698,20160926,3.02331447014971,0.0535144701497061,15.878096619442,6.12634194365921,21.3586374823632
2454,453857.1819,6071962.464,43.2491,3.0191,20160926,3.06955615264144,0.0504561526414449,15.0550571393071,6.89365772328535,20.9864706118855
2455,453857.2035,6071963.418,43.2818,3.0518,20160926,3.09392779161128,0.0421277916112754,14.2101594540452,7.72592429705058,20.6196122298546
2456,453857.2376,6071964.432,43.3098,3.0798,20160926,3.12219689735061,0.0423968973506135,13.3224208313879,8.64307234491875,20.2475200828406
2457,453857.2442,6071965.41,43.322,3.092,20160926,3.13562125403775,0.0436212540377476,12.4993056721382,8.97226975967385,19.9187424092719
2458,453857.2863,6071966.303,43.3613,3.1313,20160926,3.17252369566994,0.0412236956699394,11.7469356117421,8.41152118759612,19.6248658454385
2459,453857.3563,6071967.153,43.4003,3.1703,20160926,3.20827504794267,0.0379750479426715,11.0315984761775,7.90853783529912,19.3514381636123
2460,453857.4169,6071967.981,43.4221,3.1921,20160926,3.2150755197467,0.0229755197466988,10.3598506969344,7.48675795075016,19.1052599458079
2461,453857.4933,6071968.738,43.4247,3.1947,20160926,3.23875534666732,0.0440553466673186,9.75242450912514,7.14394645080175,18.8883516812266
2462,453857.533,6071969.52,43.424,3.194,20160926,3.23153775539237,0.0375377553923655,9.17786764194365,6.89912023392701,18.6977178390458
2463,453857.5983,6071970.442,43.4029,3.1729,20160926,3.21702166475375,0.0441216647537535,8.5286058535761,6.69866306739944,18.4911097138717
2464,453857.6166,6071971.375,43.3843,3.1543,20160926,3.19040674210064,0.0361067421006416,7.96730018722373,6.66987043053036,18.3318437690852
2465,453857.6447,6071972.23,43.3596,3.1296,20160926,3.17004202070653,0.0404420207065255,7.50809638989536,6.74636154463557,18.2087558127196
2466,453857.6549,6071973.134,43.3402,3.1102,20160926,3.16301367857566,0.0528136785756592,7.12095170544131,6.96047584634832,18.1154217628802
2467,453857.6661,6071974.033,43.3236,3.0936,20160926,3.14669059170636,0.0530905917063564,6.83248446200286,7.27832124933546,18.0505605705327
2468,453857.7138,6071974.871,43.3551,3.1251,20160926,3.16749554989687,0.042395549896868,6.62539304630979,7.62614676234102,17.9989114629492
2469,453857.7395,6071975.742,43.3627,3.1327,20160926,3.17470284484779,0.0420028448477918,6.54250041612225,8.08401659107211,17.9797966292115
